City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,San Quintin,30.48,-115.95,61.39,88,8,9.71,MX,2020-06-21 05:42:36
224,Antofagasta,-23.65,-70.4,57.2,76,90,2.24,CL,2020-06-21 05:42:36
225,Taksimo,56.34,114.88,73.63,34,70,5.23,RU,2020-06-21 05:42:37
226,Ixtapa,20.7,-105.2,76.91,81,78,1.32,MX,2020-06-21 05:42:37
227,Timizart,36.8,4.27,72.84,42,0,1.36,DZ,2020-06-21 05:42:37
228,Cidreira,-30.18,-50.21,66.33,86,0,8.72,BR,2020-06-21 05:42:38
229,Soe,-9.86,124.28,76.98,59,5,9.78,ID,2020-06-21 05:42:38
230,Bredasdorp,-34.53,20.04,57.2,76,0,5.21,ZA,2020-06-21 05:41:07
231,Banjar,-8.19,114.97,84.2,89,40,21.92,ID,2020-06-21 05:42:39
232,Saryg-Sep,51.5,95.6,77.9,31,19,4.94,RU,2020-06-21 05:42:39
233,Lobito,-12.35,13.55,70.99,52,0,4.21,AO,2020-06-21 05:42:39
234,Eyl,7.98,49.82,87.39,47,79,28.77,SO,2020-06-21 05:42:40
235,Gondanglegi,-7.75,112.01,85.55,68,64,8.79,ID,2020-06-21 05:42:40
236,North Platte,41.12,-100.77,64.99,82,1,3.36,US,2020-06-21 05:42:40
237,Jurm,36.86,70.83,80.4,17,0,1.68,AF,2020-06-21 05:42:41
238,Hay River,60.82,-115.8,75.2,36,20,12.75,CA,2020-06-21 05:42:41
239,Chaumont,48.12,5.13,52.0,93,33,4.41,FR,2020-06-21 05:42:41
240,Nagornyy,52.8,83.55,59.0,51,10,4.47,RU,2020-06-21 05:42:41
241,Hyeres,43.12,6.12,71.6,46,15,8.05,FR,2020-06-21 05:42:42
242,Barcelona,41.39,2.16,71.01,88,20,6.93,ES,2020-06-21 05:38:26
243,Aquiraz,-3.9,-38.39,77.0,78,1,10.29,BR,2020-06-21 05:42:42
244,Warwick,41.7,-71.42,72.0,88,1,3.36,US,2020-06-21 05:42:42
245,Gaziantep,37.06,37.38,75.2,50,0,6.93,TR,2020-06-21 05:42:43
246,Batagay-Alyta,67.8,130.41,85.96,20,37,3.38,RU,2020-06-21 05:42:43
247,Columbus,39.96,-83.0,77.0,73,75,6.93,US,2020-06-21 05:41:59
248,Namatanai,-3.67,152.43,83.98,71,44,2.62,PG,2020-06-21 05:42:44
249,Gazli,40.13,63.45,99.75,8,5,17.38,UZ,2020-06-21 05:42:45
250,Mayo,38.89,-76.51,72.0,83,1,4.7,US,2020-06-21 05:42:45
251,Susehri,40.16,38.09,64.47,56,19,1.68,TR,2020-06-21 05:42:45
252,Krasnoselkup,65.7,82.47,58.91,49,64,20.45,RU,2020-06-21 05:42:46
253,Neuquen,-38.95,-68.06,48.2,61,14,18.34,AR,2020-06-21 05:42:46
254,Villers-La-Ville,50.58,4.53,62.01,77,43,6.93,BE,2020-06-21 05:42:46
255,Viedma,-40.81,-63.0,52.02,49,97,20.78,AR,2020-06-21 05:42:47
256,Gurlan,41.84,60.39,89.6,28,38,6.93,UZ,2020-06-21 05:42:47
257,Kutum,14.2,24.67,83.39,14,2,7.31,SD,2020-06-21 05:41:05
258,San Juan,-31.54,-68.54,51.57,49,18,4.47,AR,2020-06-21 05:42:48
259,Consett,54.85,-1.83,55.99,91,100,1.99,GB,2020-06-21 05:42:49
260,Marawi,8.0,124.29,86.0,80,94,5.99,PH,2020-06-21 05:42:49
261,Koksovyy,48.2,40.6,77.99,50,14,12.08,RU,2020-06-21 05:42:50
262,Torbay,47.67,-52.73,37.0,100,5,5.82,CA,2020-06-21 05:42:50
263,Zyryanka,65.75,150.85,87.21,22,0,15.64,RU,2020-06-21 05:42:50
264,Winslow,35.02,-110.7,77.0,13,1,17.22,US,2020-06-21 05:42:50
265,Mnogovershinnyy,53.94,139.92,49.62,73,51,8.16,RU,2020-06-21 05:42:51
266,Wittmund,53.57,7.78,62.01,82,48,3.36,DE,2020-06-21 05:42:51
267,Olafsvik,64.89,-23.71,52.56,71,84,9.8,IS,2020-06-21 05:42:51
268,Kumluca,36.37,30.29,80.11,48,10,5.48,TR,2020-06-21 05:42:52
269,Pandan,14.05,124.17,87.98,64,51,7.23,PH,2020-06-21 05:42:52
270,Rawah,34.48,41.91,84.09,36,0,16.71,IQ,2020-06-21 05:42:52
271,Saldanha,-33.01,17.94,57.2,93,15,12.75,ZA,2020-06-21 05:42:53
272,Karatau,43.17,70.47,83.55,20,0,10.33,KZ,2020-06-21 05:42:53
273,Matamoros,25.53,-103.25,79.0,47,2,1.01,MX,2020-06-21 05:42:53
274,Abu Samrah,35.3,37.18,78.67,43,0,15.66,SY,2020-06-21 05:42:53
275,Kipini,-2.53,40.53,79.97,76,99,22.95,KE,2020-06-21 05:42:54
276,Port Augusta,-32.5,137.77,62.6,48,33,14.99,AU,2020-06-21 05:42:55
277,Quilali,13.57,-86.03,72.16,85,74,3.56,NI,2020-06-21 05:42:55
278,Zhangye,38.93,100.45,65.32,63,100,3.02,CN,2020-06-21 05:42:55
279,Necochea,-38.55,-58.74,46.0,79,89,5.99,AR,2020-06-21 05:42:56
280,Lebu,-37.62,-73.65,47.79,85,0,6.8,CL,2020-06-21 05:42:56
281,Faanui,-16.48,-151.75,78.71,85,100,20.27,PF,2020-06-21 05:41:09
282,Leh,34.17,77.58,57.2,34,44,5.46,IN,2020-06-21 05:42:57
283,Port-Gentil,-0.72,8.78,75.94,85,91,15.48,GA,2020-06-21 05:39:08
284,Cooma,-36.23,149.13,48.2,65,40,13.87,AU,2020-06-21 05:42:57
285,Lagunas,-5.23,-75.68,71.44,98,88,0.87,PE,2020-06-21 05:42:58
