City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
235,Samarai,57,PG,broken clouds,83,-10.62,150.67,80.49,0.0,0,10.87
236,Kant,1,IN,clear sky,30,27.8,79.8,100.74,0.0,0,9.66
237,Khiri Mat,70,TH,broken clouds,49,16.83,99.8,96.01,0.0,0,1.68
238,Zyryanovsk,31,KZ,scattered clouds,52,49.74,84.27,62.74,0.0,0,4.21
239,Cidreira,54,BR,broken clouds,90,-30.18,-50.21,67.01,0.0,0,7.81
240,Sao Filipe,15,CV,few clouds,83,14.9,-24.5,76.33,0.0,0,5.35
241,Douentza,10,ML,clear sky,33,15.0,-2.95,90.3,0.0,0,13.11
242,Pokhara,94,NP,overcast clouds,63,28.23,83.98,81.77,0.0,0,2.8
243,Hirara,75,JP,broken clouds,79,24.8,125.28,87.8,0.0,0,12.75
244,Chuy,92,UY,overcast clouds,96,-33.7,-53.46,57.79,0.0,0,3.38
245,Kautokeino,90,NO,overcast clouds,34,69.01,23.04,61.81,0.0,0,1.1
246,Clyde River,1,CA,clear sky,93,70.47,-68.59,35.6,0.0,0,2.24
247,Callaway,40,US,scattered clouds,74,30.15,-85.57,80.6,0.0,0,6.93
248,Usogorsk,79,RU,broken clouds,47,63.41,48.69,57.15,0.0,0,5.86
249,Kupang,40,ID,scattered clouds,36,-10.17,123.58,91.4,0.0,0,18.34
250,Klaksvik,34,FO,scattered clouds,100,62.23,-6.59,50.0,0.0,0,13.87
251,Aklavik,75,CA,broken clouds,71,68.22,-135.01,57.2,0.0,0,3.36
252,Cap-Aux-Meules,35,CA,scattered clouds,93,47.38,-61.86,54.7,0.0,0,18.48
253,Carlagan,60,PH,broken clouds,64,14.97,122.05,87.91,0.0,0,5.48
254,Nouadhibou,0,MR,clear sky,66,20.93,-17.03,72.84,0.0,0,20.74
255,Pundaguitan,25,PH,scattered clouds,68,6.37,126.17,84.56,0.0,0,5.32
256,Ahipara,33,NZ,scattered clouds,80,-35.17,173.17,57.83,0.0,0,9.66
257,Biggar,61,GB,broken clouds,35,55.62,-3.52,50.0,0.0,0,1.01
258,Saint-Philippe,32,RE,scattered clouds,57,-21.36,55.77,77.0,0.0,0,3.36
259,Chililabombwe,0,ZM,clear sky,59,-12.36,27.82,54.72,0.0,0,6.6
260,Palmer,1,US,clear sky,73,42.16,-72.33,73.4,0.0,0,3.36
261,Palembang,40,ID,scattered clouds,70,-2.92,104.75,86.0,0.0,0,5.82
262,Bollnas,44,SE,scattered clouds,49,61.35,16.39,67.42,0.0,0,3.94
